time,600,602.5,605,607.5,610,612.5,615,617.5,620,622.5,625,627.5,630,632.5,635,637.5,640,642.5,645,647.5,650,652.5,655,657.5,660,662.5,665,667.5,670,672.5,675,677.5,680,682.5,685,687.5,690,692.5,695,697.5,700,702.5,705,707.5,710,712.5,715,717.5,720,722.5,725
-5,0.14901,-0.041478,0.19431,0.45691,-0.070244,-0.070238,0.47377,0.23023,-0.14084,0.16277,-0.13902,-0.13971,0.072594,-0.57398,-0.51747,-0.16868,-0.30384,0.094278,-0.2724,-0.42369,0.4397,-0.067731,0.02026,-0.42742,-0.16331,0.033278,-0.3453,0.11271,-0.18019,-0.087508,-0.18051,0.55568,-0.0040491,-0.31731,0.24676,-0.36625,0.062659,-0.5879,-0.39846,0.059058,0.22154,0.05141,-0.034694,-0.090331,-0.44356,-0.21595,-0.13819,0.31714,0.10309,-0.52891,0.097225
-4.5,-0.11552,-0.20307,0.18352,0.30932,0.27941,-0.25173,-0.092727,0.099422,0.29271,-0.1437,-0.055639,-0.33184,-0.3588,0.24382,0.40693,-0.021546,0.30111,0.10854,-0.19349,0.10846,0.46144,-0.010719,0.46942,-0.7859,0.24659,0.026127,-0.089692,0.027536,-0.59627,-0.065898,0.10714,0.44337,-0.15548,-0.24255,-0.15053,0.27462,0.098626,-0.15893,0.15398,0.029124,0.29059,-0.21062,-0.098298,-0.11763,-0.43905,0.088836,0.078317,0.0015341,-0.070376,-0.42461,-0.12619
-4,-0.10274,-0.24058,-0.048247,0.1214,0.56609,0.052658,0.077607,-0.021934,-0.57518,-0.0074523,0.018609,0.73954,-0.057133,0.091035,-0.0098595,-0.35008,0.34334,0.22603,0.23771,-0.27246,0.42115,-0.42028,0.17629,0.65733,-0.297,-0.16976,0.029994,-0.15097,-0.46515,0.020605,-0.31867,0.14209,-0.27582,0.46499,-0.23497,-0.096614,0.24406,-0.36926,0.068241,0.39215,-0.48224,0.055392,0.077967,0.23455,-0.37108,-0.39614,0.15658,0.089097,0.075149,0.10394,-0.20401
-3.5,0.070215,0.088668,-0.2133,0.56105,0.14382,-0.35533,0.19945,-0.2895,0.23942,0.35122,-0.24229,0.29311,0.12801,0.25077,0.57307,-0.06978,-0.22254,-0.26357,-0.24176,-0.020462,0.10471,0.085075,0.24994,0.005404,0.4373,-0.078406,0.81682,0.18827,-0.25673,-0.32098,0.14494,-0.066907,0.21429,0.14203,-0.021803,-0.254,-0.45442,-0.13393,0.25695,0.064252,-0.3737,0.051975,0.11561,-0.26514,0.046133,0.017476,-0.34288,0.10735,0.16824,0.32492,0.31615
-3,-0.41022,-0.27708,0.16025,0.16165,0.16407,1.1676,0.18547,0.35727,0.30507,0.21627,-0.072155,0.25117,-0.2079,-0.047213,-0.12243,0.046656,0.71508,-0.54109,0.22328,-0.46811,-0.12755,0.33906,0.030036,-0.31417,-0.20699,0.21,-0.21434,0.068528,0.016278,-0.19365,0.64444,0.19103,-0.60696,0.05635,-0.19822,0.25598,-0.23754,-0.034221,0.15168,0.2599,-0.35993,-0.1002,-0.14235,-0.19587,0.52975,0.12159,-0.37818,0.27543,0.63671,0.30979,-0.45577
-2.5,-0.13134,0.39936,-0.18635,0.1671,0.27558,-0.22467,0.046345,-0.89734,-0.22203,0.01851,-0.27292,0.59594,-0.32061,-0.023959,0.14454,0.53306,-0.33608,0.43682,0.083772,-0.22099,0.20488,0.11877,-0.12826,0.065454,-0.078331,0.064306,0.22237,0.49377,-0.35821,0.64921,-0.57919,-0.041121,0.17957,0.086526,-0.18509,-0.061008,-0.14664,-0.17566,0.25595,0.10811,-0.20694,0.27074,0.092982,0.24458,0.18953,-0.24813,-0.16755,0.22462,0.18348,-0.0059559,0.035462
-2,0.4332,-0.10839,0.25711,0.061004,0.089442,0.52098,0.47766,0.51293,0.69727,0.34423,0.56822,0.28802,0.4867,0.34968,0.40896,0.54305,0.099161,0.94987,-0.0032497,-0.089633,0.59793,0.46338,0.38764,0.36247,0.1433,-0.14889,0.11781,-0.13068,0.34588,-0.0060286,-0.22101,-0.077863,0.13704,-0.15935,-0.23894,0.079646,0.079323,-0.14671,-0.13628,0.074329,-0.43002,-0.41816,-0.2118,-0.060647,0.09631,0.4453,0.25966,-0.045936,-0.0039525,-0.29927,-0.0043113
-1.5,0.055782,0.29395,0.017157,0.50296,0.90139,0.5134,0.77697,0.97442,0.75202,1.0321,1.0425,1.1188,0.88295,1.1225,1.2428,1.4897,1.2915,1.5928,0.65703,1.0882,0.81909,1.3552,0.38486,0.2989,0.29019,-0.24911,0.15143,0.0097415,0.22136,0.22961,0.65288,0.34889,-0.12683,-0.23435,0.17609,-0.37148,0.57166,0.37447,-0.12137,-0.49573,0.42318,-0.018597,0.3858,-0.46522,-0.16806,0.011995,0.023229,-0.1271,0.19364,-0.31454,-0.037905
-1,0.36174,0.60521,0.82034,0.45664,0.54977,1.6323,1.6014,1.531,2.4616,2.2434,2.7331,2.5185,3.1793,3.0958,2.4555,2.7471,2.5523,2.6612,1.8487,2.2284,2.2172,1.2352,1.2512,0.81613,1.1508,1.2419,1.2757,0.66137,0.96736,-0.064843,-0.25996,0.16465,0.24992,0.095425,-0.53281,0.050102,-0.32104,0.26666,0.17196,-0.22362,-0.099597,-0.2672,0.02756,0.32859,-0.25801,0.18465,-0.12977,-0.21247,-0.010354,-0.29215,-0.15067
-0.5,0.243,1.4234,1.1331,1.2589,1.9326,2.2769,2.712,3.4329,3.9223,3.9312,4.2375,4.5553,4.0756,4.3457,5.1658,5.1491,4.4495,4.5536,4.3272,5.0032,4.239,3.647,3.1237,2.5907,2.7422,2.0306,1.4045,1.2382,0.75983,1.3075,0.85063,0.43042,0.77415,0.28839,-0.032657,0.65894,0.34862,-0.13519,0.10933,-0.10577,-0.26799,0.41397,0.69766,-0.30635,0.27043,-0.10517,-0.067225,-0.10934,-0.20061,0.064173,-0.20774
0,0.99363,1.2484,1.6289,1.9529,2.6576,3.7275,4.3604,4.6309,5.633,6.4325,6.2002,7.2249,7.0839,7.5463,7.1382,6.7551,6.7123,7.119,7.0912,6.6363,6.9417,5.9983,6.0928,5.2224,4.7373,4.2119,3.1811,2.6027,2.3849,1.39,1.4168,0.54372,0.85158,1.0046,-0.24287,0.21465,0.59735,0.3407,0.49225,0.17841,0.36273,0.26553,0.63672,0.33609,0.33424,0.082986,0.034768,0.027124,0.25274,-0.012459,0.18225
0.5,1.7747,1.8565,2.0493,3.17,3.4521,3.81,5.0159,5.6612,6.9795,7.8626,9.001,9.0814,9.245,9.7511,8.9378,9.7309,9.9587,9.3845,10.296,10.156,9.932,10.068,10.136,8.8187,7.9091,6.602,5.3258,4.7105,3.2091,2.6677,1.875,1.7129,1.3681,1.3879,0.80607,0.80488,0.5421,0.66173,0.86906,0.94153,0.39273,0.88166,0.97614,0.64057,1.0263,0.17859,-0.013373,-0.22163,0.71609,0.42268,0.17286
1,1.3255,1.3815,3.0479,3.0672,3.8862,4.9851,5.8805,6.7823,7.4161,8.6424,9.7843,10.194,10.698,10.392,10.527,11.084,11.509,12.279,11.956,13.403,13.219,13.172,12.642,11.671,11.253,9.5938,7.6263,6.0969,5.0142,4.4814,3.0319,2.0356,1.9946,1.7204,0.82828,1.5158,1.3871,1.5999,1.8799,1.5918,1.0945,0.75813,1.772,0.9249,0.81773,0.71409,0.69171,0.50461,0.2973,0.23349,0.32304
1.5,1.0147,1.417,2.2275,2.7972,4.1084,3.7308,5.7763,6.758,6.6644,8.0102,8.7227,9.0197,9.7242,10.098,11.461,11.823,12.687,13.442,13.898,15.05,16.105,15.941,16.334,15.273,13.922,12.548,10.576,8.454,7.2112,5.1276,4.5515,3.7682,2.9768,2.8356,2.1546,2.6703,2.2336,2.0368,2.4079,1.7706,1.4358,1.257,1.7634,1.0506,1.8132,0.51629,1.509,0.9299,0.7134,0.4653,0.64621
2,1.0078,1.7424,1.9347,2.5331,3.0583,3.9049,4.8177,5.0306,5.936,7.3074,7.8096,8.3128,8.9542,9.6682,10.134,10.989,12.45,13.493,15.433,16.277,18.3,18.835,18.802,18.317,17.15,15.085,12.101,10.132,8.3851,6.9624,5.8655,4.6034,4.2819,3.6191,3.421,3.0177,3.0297,2.7716,2.7428,3.1918,2.4123,3.2921,2.444,2.1382,1.6104,1.8663,1.279,1.2946,1.8458,0.88397,1.1091
2.5,0.6226,1.1441,2.0863,1.8485,3.1379,3.427,3.709,4.7475,5.5204,6.0573,6.0085,6.8559,7.6275,8.4148,9.5555,10.632,11.706,14.033,16.078,17.99,19.758,20.716,20.861,20.112,18.268,16.945,14.617,12.342,9.7842,8.0973,7.3965,6.1129,5.6907,5.0862,4.8233,4.9082,4.3104,4.3278,3.9728,3.7665,3.5628,3.4586,2.9685,3.1999,2.2636,2.1889,1.836,2.1394,1.5199,1.5469,0.59032
3,0.74322,1.1857,1.2626,1.9418,1.9127,2.9882,3.7895,3.5442,4.0743,5.1915,5.7759,5.7205,6.4126,7.2837,8.0566,9.6191,11.406,13.622,16.177,18.544,20.883,21.429,22.489,21.667,20.401,18.66,15.811,13.901,11.675,9.9702,8.5276,8.1962,6.6151,6.2282,5.9254,5.7401,5.5268,5.8703,5.7034,4.8323,4.4447,4.4976,3.8313,3.8158,3.3128,2.4286,2.9916,2.7289,1.6925,1.4728,1.4163
3.5,0.62274,0.92168,1.5793,1.2272,1.3944,1.6164,2.2396,2.898,3.9061,3.6823,4.3995,4.8852,5.9316,7.233,7.5269,9.1422,11.627,13.91,16.861,19.039,20.955,22.775,23.575,23.157,21.831,20.085,17.822,15.527,13.144,11.097,9.8139,9.1584,7.9061,7.8471,7.3398,7.247,7.4074,6.8384,6.5081,5.751,6.0031,5.5567,5.57,4.3718,4.0695,3.6247,3.5849,2.6679,2.3938,2.1389,1.6941
